,Unnamed: 0,id,organization_id,name,type,age,gender,size,url,city,state,zip code,country
1040,1077.0,70488700.0,CA1571,Comet 01-9811-24,Cat,Adult,Male,Medium,https://www.petfinder.com/cat/comet-01-9811-24-70488700/ca/grass-valley/sammies-friends-animal-shelter-ca1571/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Austin, TX, 78704, US
1041,1078.0,70488701.0,OK333,Lewis ,Dog,Baby,Male,Medium,https://www.petfinder.com/dog/lewis-70488701/ok/broken-arrow/legacy-of-hope-dog-rescue-ok333/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Austin, TX, 78704, US
1042,1079.0,70488698.0,CA1727,Sharpie,Dog,Baby,Male,Small,https://www.petfinder.com/dog/sharpie-70488698/ca/kingsburg/pawsitive-connections-ca1727/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Inverness, FL, 34450, US
1043,1080.0,70488696.0,FL464,Moose,Dog,Baby,Male,Large,https://www.petfinder.com/dog/moose-70488696/sc/abbeville/second-chance-rescue-fl464/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Woodmere, NY, 11598, US
1044,1081.0,70488690.0,NV26,MAXIMUS,Dog,Young,Male,Large,https://www.petfinder.com/dog/maximus-70488690/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, San Juan Capistrano, CA, 92693, US
1045,1082.0,70488691.0,NV26,GREG,Dog,Young,Male,Medium,https://www.petfinder.com/dog/greg-70488691/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Silver Springs, NV, 89429, US
1047,1084.0,70488693.0,NV26,FABIO,Dog,Adult,Male,Large,https://www.petfinder.com/dog/fabio-70488693/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, houston, TX, 77066, US
1048,1085.0,70488694.0,NV26,SUMMER,Dog,Baby,Female,Small,https://www.petfinder.com/dog/summer-70488694/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Jersey City, NJ, 07302, US
1049,1086.0,70488695.0,NV26,WILLOW,Dog,Adult,Female,Large,https://www.petfinder.com/dog/willow-70488695/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, PALM BAY, FL, 32909, US
1050,1087.0,70488679.0,NV26,SALLY,Dog,Young,Female,Large,https://www.petfinder.com/dog/sally-70488679/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Puyallup, WA, 98375, US
