,id,organization_id,name,type,age,gender,size,city,state,url
237,70489795.0,IL889,Mini,Cat,Senior,Female,Medium, Midwest City , OK,https://www.petfinder.com/cat/mini-70489795/il/marion/finding-forever-animal-rescue-il889/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
238,70489796.0,IL889,Buddy,Cat,Senior,Male,Medium, Fort Lauderdale, FL,https://www.petfinder.com/cat/buddy-70489796/il/marion/finding-forever-animal-rescue-il889/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
239,70489797.0,IL889,Taz,Cat,Adult,Female,Medium, Brooklyn, NY,https://www.petfinder.com/cat/taz-70489797/il/marion/finding-forever-animal-rescue-il889/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
240,70489798.0,IL889,Butters,Cat,Adult,Male,Medium, New York, NY,https://www.petfinder.com/cat/butters-70489798/il/marion/finding-forever-animal-rescue-il889/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
241,70489793.0,NC1192,Dancer,Dog,Adult,Female,Medium, Jackson, MI,https://www.petfinder.com/dog/dancer-70489793/nc/clyde/misfit-mountain-nc1192/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
242,70489792.0,CA2713,ALDO,Dog,Adult,Male,Medium, North Battleford, SK,https://www.petfinder.com/dog/aldo-70489792/ca/rowland-heights/vida-rescue-ca2713/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
243,70489790.0,AR372,Anna,Cat,Young,Female,Medium, Clyde, NC,https://www.petfinder.com/cat/anna-70489790/ar/fort-smith/fort-smith-animal-haven-ar372/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
244,70489791.0,AR372,Elsa,Cat,Young,Female,Medium, Gloucester, VA,https://www.petfinder.com/cat/elsa-70489791/ar/fort-smith/fort-smith-animal-haven-ar372/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
245,70489784.0,GA830,Lucille Ball,Cat,Young,Female,Small, GILBERTS, IL,https://www.petfinder.com/cat/lucille-ball-70489784/ga/locust-grove/street-paws-inc-ga830/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
246,70489785.0,GA830,Ricky Ricardo,Cat,Young,Male,Small, GILBERTS, IL,https://www.petfinder.com/cat/ricky-ricardo-70489785/ga/locust-grove/street-paws-inc-ga830/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
247,70489786.0,GA830,Cupid,Cat,Young,Male,Small, GILBERTS, IL,https://www.petfinder.com/cat/cupid-70489786/ga/locust-grove/street-paws-inc-ga830/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
248,70489787.0,GA830,Lovey,Cat,Young,Female,Small, Concord, NC,https://www.petfinder.com/cat/lovey-70489787/ga/locust-grove/street-paws-inc-ga830/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
249,70489788.0,GA830,Dovey,Cat,Young,Female,Small, Concord, NC,https://www.petfinder.com/cat/dovey-70489788/ga/locust-grove/street-paws-inc-ga830/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
250,70489789.0,NJ736,Lil Bit,Cat,Baby,Female,Medium, GILBERTS, IL,https://www.petfinder.com/cat/lil-bit-70489789/nj/trenton/trenton-cats-rescue-nj736/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
251,70489782.0,MI812,D-O-G! Loves other dogs! ,Dog,Young,Male,Large, GILBERTS, IL,https://www.petfinder.com/dog/d-o-g-loves-other-dogs-70489782/mi/eastpointe/misfit-angels-dog-rescue-mi812/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
252,70489781.0,NC1056,Honi,Dog,Adult,Female,Large, Clyde, NC,https://www.petfinder.com/dog/honi-70489781/nc/salisbury/faith-hope-and-love-animal-rescue-nc-nc1056/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
253,70489780.0,SC592,Cash,Dog,Young,Male,Extra Large, Matteson, IL,https://www.petfinder.com/dog/cash-70489780/sc/st-george/shangri-la-sanctuary-sc592/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
