,id,organization_id,state,name,type,age,gender,size,url
254,70489778,OR177,OR,Memphis,Dog,Young,Male,Large,https://www.petfinder.com/dog/memphis-70489778/or/salem/marion-county-dog-shelter-or177/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
255,70489779,OR177,OR,Rook,Dog,Young,Male,Large,https://www.petfinder.com/dog/rook-70489779/or/salem/marion-county-dog-shelter-or177/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
256,70489777,NC1192,NC,Stanley,Dog,Adult,Male,Extra Large,https://www.petfinder.com/dog/stanley-70489777/ok/midwest-city/misfit-mountain-nc1192/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
257,70489774,FL252,FL,TENDER HEART,Dog,Young,Female,Medium,https://www.petfinder.com/dog/tender-heart-70489774/fl/fort-lauderdale/broward-county-animal-care-and-adoption-fl252/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
258,70489770,NY1570,NY,Evelyn,Cat,Baby,Female,Medium,https://www.petfinder.com/cat/evelyn-70489770/ny/brooklyn/brooklyn-animal-rescue-ny1570/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
259,70489766,NY245,NY,Pilar,Dog,Adult,Female,Medium,https://www.petfinder.com/dog/pilar-70489766/ny/new-york/stray-from-the-heart-ny245/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
260,70489765,MI340,MI,Zeus,Dog,Adult,Male,Large,https://www.petfinder.com/dog/zeus-70489765/mi/jackson/cascades-humane-society-mi340/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
261,70489767,SK14,SK,Freddy,Cat,Young,Male,Small,https://www.petfinder.com/cat/freddy-70489767/sk/north-battleford/battlefords-humane-society-sk14/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
262,70489764,NC1192,NC,Charlie,Dog,Adult,Male,Medium,https://www.petfinder.com/dog/charlie-70489764/nc/clyde/misfit-mountain-nc1192/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
263,70489763,VA28,VA,Rinestone Cowboy,Dog,Young,Male,Large,https://www.petfinder.com/dog/rinestone-cowboy-70489763/va/gloucester/gloucester-animal-control-outreach-program-va28/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
